name,price,grade
KENWOOD KTLD60X23 Tall Fridge - Inox,£429.00,4.5/5
SAMSUNG Bespoke SpaceMax RR39C7BJ5SA/EU Smart Tall Fridge - Silver,£949.00,4.8/5
HAIER 1D 60 Series 7 H3R 330WNA Tall Fridge - White,£749.00,5/5
BEKO Pro HarvestFresh AeroFlow LNP4686LVW Tall Fridge - White,£499.00,4.5/5
HOTPOINT SH6 A2Q GR UK Tall Fridge - Graphite,£485.00,5/5
LOGIK LUC50W23 Undercounter Fridge Freezer - White,£159.00,4.6/5
LOGIK LUL48W23 Undercounter Fridge - White,£109.00,4.3/5
LOGIK LUL55W23 Undercounter Fridge - White,£179.00,4.6/5
KENWOOD KUL55X23 Undercounter Fridge - Silver,£199.00,4.8/5
BEKO UL4482W Undercounter Fridge - White,£179.00,4.5/5
LOGIK LUR55W23 Undercounter Fridge - White,£159.00,4.7/5
BEKO UL4584W Undercounter Fridge - White,£219.00,4.6/5
LOGIK LTT68S23 Mini Fridge - Silver,£119.00,4.5/5
LOGIK LUR48W23 Undercounter Fridge - White,£149.00,4.4/5
HAIER HWS34GGH1K Wine Cooler - Black,£279.00,4.4/5
HISENSE RW18W4NSWGF Wine Cooler – Silver,£379.00,5/5
BOSCH Series 4 KSV36VWEPG Tall Fridge - White,£719.00,186 x 60 x 65 cm (H x W x D)
HAIER HAKWBD 60UK Integrated Wine Cooler - Black,£799.00,4/5
RUSSELL HOBBS Retro RH4CLR1001 Mini Cooler - White,£34.99,4.3/5
KENWOOD KUR55X23 Undercounter Fridge - Silver,£139.00,4.8/5
